vmag,ra,de,pmRa,pmDe,sRgbR,sRgbG,sRgbB
6.06,0.4701944,16.445,0.019,-0.015,1.647506,0.8738905,0.3449722
6.04,0.47225,10.18972,0.046,-0.207,0.9996489,0.9886097,1.119177
6.43,0.4725278,-20.335,-0.116,-0.114,1.078469,0.9803711,0.968162
5.43,0.474,-39.915,0.13,-0.036,1.635357,0.8766814,0.3531348
6.26,0.4823889,36.9,-0.011,0.003,1.256405,0.9539321,0.7051516
6.26,0.4786389,-50.53278,0.15,-0.002,1.354547,0.9360177,0.5931965
6.21,0.5152778,77.01944,0.337,-0.038,1.211584,0.9614226,0.7631477
5.94,0.5055278,59.97722,0.017,-0.012,0.8209915,0.9950778,1.582768
5.23,0.5020278,29.75167,0.041,-0.054,0.9134204,0.9942164,1.318236
6.14,0.49775,-14.86417,0.144,-0.032,0.9715175,0.9908733,1.179802
6.57,0.4969167,-32.11667,-0.004,-0.054,1.503099,0.9059449,0.4531172
5.72,0.5006667,-3.957222,0.011,-0.012,1.635357,0.8766814,0.3531348
5.19,0.5063056,-23.78778,-0.024,0.013,0.8634652,0.9954395,1.45368
6.19,0.5077222,-40.93944,-0.001,0.021,0.9532177,0.9921292,1.221391
5.69,0.50725,-48.215,0.129,-0.088,0.9623215,0.9915266,1.200481
6.18,0.5236944,66.51944,0.023,-0.006,0.781925,0.9934445,1.714426
5.87,0.5237778,33.58167,0.047,-0.019,1.384036,0.9302863,0.5630207
4.73,0.5295556,54.52222,0.045,-0.01,0.781925,0.9934445,1.714426
5.6,0.5281111,52.83944,-0.053,-0.019,1.389962,0.9291172,0.5571284
4.77,0.5236111,-48.80361,0.143,0.017,0.8247156,0.9951659,1.57089
4.37,0.52575,-62.95806,0.09,-0.054,0.792227,0.9940051,1.678416
4.54,0.526,-62.96583,0.101,-0.056,0.8756096,0.995297,1.419215
6.7,0.5407778,43.49472,0.018,-0.01,0.8136278,0.9948701,1.606589
6.42,0.5553611,70.98167,0.028,-0.004,0.8136278,0.9948701,1.606589
4.16,0.55,62.93167,0.003,-0.003,0.8715355,0.9953564,1.430662
5.38,0.5431944,20.29444,0.135,-0.047,1.348679,0.9371404,0.5993768
5.67,0.5399444,6.955556,0.035,0.002,0.8172955,0.9949792,1.594669
6.67,0.5429167,27.58056,-0.017,-0.015,1.302141,0.9458218,0.6506131
6.3,0.5469722,28.28028,-0.006,0.007,1.302141,0.9458218,0.6506131
5.93,0.5528889,54.895,0.071,-0.042,1.325317,0.9415493,0.6245921
5.09,0.5455,-63.03111,0.081,-0.038,0.8322476,0.9953098,1.547205
6.48,0.5735833,66.75028,0.021,0,0.788763,0.9938273,1.690417
5.55,0.5614167,-29.55833,-0.026,-0.03,1.461477,0.9146789,0.4893029
6.13,0.5564722,-71.26611,0.067,-0.012,0.9091193,0.9943857,1.329262
5.57,0.5743889,-52.37306,0.23,0.032,1.018846,0.9868484,1.07996
6.4,0.5820278,13.37111,-0.09,-0.057,1.302141,0.9458218,0.6506131
5.2,0.5874722,-3.592778,0.413,-0.026,1.063285,0.9821562,0.9952854
